Club Name,Keywords,Keywords_with_Weights
Red Cross Volunteers,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
Red Star Theater,Theater; East Asian,Theater (0.5); East Asian (0.5)
Reformed University Fellowship at Boston University,Christian,Christian (1.0)
Rhythm n Beat,Dance; Theater,Dance (0.5); Theater (0.5)
"Retail, Luxury & Consumer Association",Business; Professional Development,Business (0.5); Professional Development (0.5)
Rocket Propulsion Group,Technology; Engineering,Technology (0.5); Engineering (0.5)
Rotaract,Community Service; Environmental; Professional Development; Food & Cooking,Community Service (0.25); Environmental (0.25); Professional Development (0.25); Food & Cooking (0.25)
Running Club,Individual Sports; Fitness,Individual Sports (0.5); Fitness (0.5)
Russian Speaking Society,Food & Cooking,Food & Cooking (1.0)
Sabor Latino,Music; Dance; Latin American,Music (0.3333); Dance (0.3333); Latin American (0.3333)
Sports Analytics Group at BU,Technology; Professional Development,Technology (0.5); Professional Development (0.5)
SAR Student Government,Politics,Politics (1.0)
Sargent College Honor Society,General Interest,General Interest (1.0)
Saudi Cultural Club,Professional Development,Professional Development (1.0)
SciBU: Journal of Undergraduate Science and Research,Science; Film & Media; Writing,Science (0.3333); Film & Media (0.3333); Writing (0.3333)
Students of East African Ancestry,Politics; African,Politics (0.5); African (0.5)
School of Hospitality Administration Student Government ,Politics,Politics (1.0)
SHADES,LGBTQ+,LGBTQ+ (1.0)
Shakespeare Society,Theater,Theater (1.0)
Sigma Delta Tau,Women-Focused,Women-Focused (1.0)
Sigma Kappa,Community Service; Greek Life; Women-Focused,Community Service (0.3333); Greek Life (0.3333); Women-Focused (0.3333)
Sigma Chi,Law; Greek Life,Law (0.5); Greek Life (0.5)
Sikh Association at Boston University,Community Service,Community Service (1.0)
Singapore Students Association,Food & Cooking,Food & Cooking (1.0)
